Type,GlobalId,ArchiCADProperties:Element ID,ArchiCADProperties:Hotlink und Element-ID,ArchiCADProperties:Ebene,ArchiCADProperties:Bibliothekselement-Name,ArchiCADProperties:Eindeutige ID,ArchiCADProperties:ARCHICAD IFC ID,ArchiCADProperties:Externe IFC ID,ArchiCADProperties:Kollidierende Räume,ArchiCADProperties:Zugehöriger Raumname,ArchiCADProperties:Zugehörige Raumnummer,ArchiCADProperties:Geschützt,ArchiCADProperties:Verknüpfte Änderungen,ArchiCADProperties:Ursprungsgeschoss Name,ArchiCADProperties:Ursprungsgeschoss Nummer,ArchiCADProperties:Name des Eigenschafts-Objekts,ArchiCADProperties:Element-Typ,ArchiCADProperties:Absolutes Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Relatives Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Geschoss für Oberkantenverknüpfung,ArchiCADProperties:Überobjekt-ID,ArchiCADProperties:Baustoffe (Alle),ArchiCADProperties:Oberfläche (Alle),ArchiCADProperties:Hotlink Master-ID,ArchiCADProperties:Deckschraffur,ArchiCADProperties:Umbau-Status,ArchiCADProperties:Anzeigen auf Umbau-Filter,ArchiCADProperties:Oberfläche,ArchiCADProperties:Einheitliche Oberfläche,ArchiCADProperties:Raumname,ArchiCADProperties:Raumnummer,ArchiCADProperties:Raumkategoriename,ArchiCADProperties:Raumkategoriecode,ArchiCADProperties:Verbundene 3D Element(e),ArchiCADProperties:ARCHICAD Klassifizierung - v2.0,IfcWallCommon:ElementID
IfcWall,2SXetcbM8EIQwLUIJy_H01,tbd,tbd,015 Wohnungstrennwände / Kernwände,,9C868DE6-9562-0E49-AE95-7924FCF91001,2SXetcbM8EIQwLUIJy_H01,,Wohnen; Wohnen; Wohnen / Holzbau; Wohnen / Holzbau; Wohnen HOL; Wohnen HOL,Wohnen HOL,Wohnen,False,,DG,5,,Wand,DA,Ursprung + 1,Ursprung + 1 (DA),tbd,"Massivbau Beton, Stahlbeton 705",FMK Sichtbeton,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcWall,2DPrC__Vt2HR1rkR4ZLT8P,tbd,tbd,050 Geländer Balkone,,8D67533E-F9FD-C245-B075-B9B12355D219,2DPrC__Vt2HR1rkR4ZLT8P,,Balkon; Wohnen / Holzbau; Wohnen HOL,Wohnen HOL,Wohnen,False,,OG2,2,,Wand,Nicht verknüpft,Nicht verknüpft,Nicht verknüpft,tbd,Glas,Glas Normalglas Brüstung,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcBuildingElementProxy,1Oxxj$XPEPGA3VA_2qXjWz,Parkplatz,Parkplatz,060 Möbel Einbau,Parkplätze 24,58EFBB7F-8593-9940-A0DF-2BE0B486D83D,1Oxxj$XPEPGA3VA_2qXjWz,,Nebenräume; Nebenräume / Massivbau ui; Tiefgarage / Massivbau ui,Tiefgarage,9,False,,UG,-1,,Objekt,,,,Parkplatz,,00 Transparent; 70 Farbe grün (SP),,,Bestand,Alle relevanten Filter,Fehlt,,,,,,,,
IfcWall,2RhvVX8_VJIOLRnpTgirUy,tbd,tbd,050 Geländer Balkone,,9BAF97E1-23E7-D349-855B-C7376AB357BC,2RhvVX8_VJIOLRnpTgirUy,,Balkon,Balkon,Balkon,False,,OG2,2,,Wand,Nicht verknüpft,Nicht verknüpft,Nicht verknüpft,tbd,Glas,Glas Normalglas; Glas Normalglas Brüstung,,,Bestand,Alle relevanten Filter,,,,,,,,Wand,
IfcBuildingElementProxy,1re65Q6oHsHwDZAdTolUYP,Veloabstellplatz,Veloabstellplatz,060 Möbel Einbau,Parkplätze 24,75A0615A-1B24-7647-A363-2A7772BDE899,1re65Q6oHsHwDZAdTolUYP,,Tiefgarage / Massivbau ui,Tiefgarage,9,False,,UG,-1,,Objekt,,,,Veloabstellplatz,,00 Transparent; 70 Farbe grün (SP),,,Bestand,Alle relevanten Filter,Fehlt,,,,,,,,
IfcBuildingElementProxy,1d_OrgORJhGuDqb5hEoM0y,Veloabstellplatz,Veloabstellplatz,060 Möbel Einbau,Parkplätze 24,67F98D6A-61B4-EB43-8374-945ACEC9603C,1d_OrgORJhGuDqb5hEoM0y,,Tiefgarage / Massivbau ui,Tiefgarage,9,False,,UG,-1,,Objekt,,,,Veloabstellplatz,,00 Transparent; 70 Farbe grün (SP),,,Bestand,Alle relevanten Filter,Fehlt,,,,,,,,
IfcBuildingElementProxy,3bJQx4MbaPHRygaQ1cj9WU,Veloabstellplatz,Veloabstellplatz,060 Möbel Einbau,Parkplätze 24,E54DAEC4-5A59-1945-BF2A-91A066B4981E,3bJQx4MbaPHRygaQ1cj9WU,,Tiefgarage / Massivbau ui,Tiefgarage,9,False,,UG,-1,,Objekt,,,,Veloabstellplatz,,00 Transparent; 70 Farbe grün (SP),,,Bestand,Alle relevanten Filter,Fehlt,,,,,,,,
IfcBuildingElementProxy,2GD53FXYorIgtQ8ultusDt,Veloabstellplatz,Veloabstellplatz,060 Möbel Einbau,Parkplätze 24,903450CF-862C-B54A-ADDA-238BF7E36377,2GD53FXYorIgtQ8ultusDt,,Tiefgarage / Massivbau ui,Tiefgarage,9,False,,UG,-1,,Objekt,,,,Veloabstellplatz,,00 Transparent; 70 Farbe grün (SP),,,Bestand,Alle relevanten Filter,Fehlt,,,,,,,,
IfcBuildingElementProxy,2gn2BJyoFsJ9TzUleSQ_oh,Veloabstellplatz,Veloabstellplatz,060 Möbel Einbau,Parkplätze 24,AAC422D3-F323-F64C-977D-7AFA1C6BECAB,2gn2BJyoFsJ9TzUleSQ_oh,,Tiefgarage / Massivbau ui,Tiefgarage,9,False,,UG,-1,,Objekt,,,,Veloabstellplatz,,00 Transparent; 70 Farbe grün (SP),,,Bestand,Alle relevanten Filter,Fehlt,,,,,,,,
IfcBuildingElementProxy,36t96fzfQIJ8xLyw3BxKWr,Veloabstellplatz,Veloabstellplatz,060 Möbel Einbau,Parkplätze 24,C6DC91A9-F696-924C-8ED5-F3A0CBED4835,36t96fzfQIJ8xLyw3BxKWr,,Tiefgarage / Massivbau ui,Tiefgarage,9,False,,UG,-1,,Objekt,,,,Veloabstellplatz,,00 Transparent; 70 Farbe grün (SP),,,Bestand,Alle relevanten Filter,Fehlt,,,,,,,,
